地名,センター,燃えるごみ,粗大ごみ,資源物（紙類）,不燃ごみ,資源物（ペットボトルの日）,資源物（ビンの日）,資源物（カンの日）
相上,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
赤城町,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
曙町,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
飯塚（県道127号線西）,一般廃棄物最終処分場,火 金,月,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
飯塚（県道127号線東）,一般廃棄物最終処分場,火 金,火,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
池上,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
石原（高崎線北，国道140号・407号線西）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
石原（高崎線北，旧秩父街道北）,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,,20150218 20150318,20150211 20150311
石原（高崎線南，旧秩父街道北）,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,,20150218 20150318,20150211 20150311
石原（上越新幹線北，旧秩父街道南）,一般廃棄物最終処分場,火 金,火,火,20150204 20150304,,20150218 20150318,20150211 20150311
石原（上越新幹線南）,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,,20150218 20150318,20150211 20150311
石原1丁目（国道17号線北）,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,,20150218 20150318,20150211 20150311
石原1丁目（国道17号線南）,一般廃棄物最終処分場,火 金,火,火,20150204 20150304,,20150218 20150318,20150211 20150311
石原2丁目,一般廃棄物最終処分場,火 金,火,火,20150204 20150304,,20150218 20150318,20150211 20150311
石原3丁目（北大通り北）,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,,,20150211 20150311
石原3丁目（北大通り南）,一般廃棄物最終処分場,火 金,火,火,20150204 20150304,,,20150211 20150311
伊勢町,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,,,20150211 20150311
板井,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,,,20150211 20150311
市ノ坪（県道127号線北）,一般廃棄物最終処分場,火 金,月,金,20150204 20150304,,,20150211 20150311
市ノ坪（県道127号線南）,一般廃棄物最終処分場,火 金,火,金,20150204 20150304,,,20150211 20150311
今井,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,,,20150211 20150311
江波 （県道303号線東）,一般廃棄物最終処分場,月 木,水,木,20150204 20150304,,,
江波 （県道303号線西）,一般廃棄物最終処分場,月 木,火,木,20150204 20150304,,,
榎町,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,,,
円光,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,,,
小江川,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,,,
大麻生,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,,,
太井,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,,,
大塚,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
大野,一般廃棄物最終処分場,月 木,水,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
大原,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
押切,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
小曽根,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
男沼,一般廃棄物最終処分場,火 金,月,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
柿沼 （熊谷バイパス北，県道341号線東）,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
柿沼 （熊谷バイパス北，県道341号線西）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
柿沼 （熊谷バイパス南）,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
籠原南,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
冑山,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
鎌倉町,一般廃棄物最終処分場,月 木,火,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上江袋,一般廃棄物最終処分場,火 金,火,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上恩田,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上川上 （熊谷バイパス北）,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上川上 （熊谷バイパス南）,一般廃棄物最終処分場,月 木,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上新田,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上須戸 （県道303号線北・東）,一般廃棄物最終処分場,月 木,水,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上須戸 （県道303号線南・西）,一般廃棄物最終処分場,月 木,火,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上中条,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上奈良,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上根 （県道341号線西）,一般廃棄物最終処分場,火 金,火,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上根 （県道341号線東）,一般廃棄物最終処分場,月 木,火,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上之 （熊谷バイパス北）,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上之 （熊谷バイパス南，熊谷東中北）,一般廃棄物最終処分場,月 木,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
上之 （熊谷バイパス南，熊谷東中南）,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
川原明戸,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
河原町,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
吉所敷,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
銀座 （国道17号線北，北大通り東）,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
銀座 （国道17号線南，北大通り西）,一般廃棄物最終処分場,月 木,火,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
久下,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
葛和田,一般廃棄物最終処分場,月 木,水,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
屈戸,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
久保島 （高崎線北）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
久保島 （高崎線南）,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
小泉,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
肥塚 （熊谷バイパス北）,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
肥塚 （熊谷バイパス南）,一般廃棄物最終処分場,月 木,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
江南中央,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
小島,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
小八林,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
桜木町,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
桜町,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
佐谷田,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
塩,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
柴,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
四方寺,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
下恩田,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
下川上,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
下奈良 （県道341号線東）,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
下奈良 （県道341号線西）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,,20150218 20150318,20150211 20150311
下増田,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,,20150218 20150318,20150211 20150311
拾六間,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,,20150218 20150318,20150211 20150311
新川,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,,20150218 20150318,20150211 20150311
末広 （県道83号線東，北大通り北）,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,,20150218 20150318,20150211 20150311
末広 （県道83号線西，北大通り北）,一般廃棄物最終処分場,月 木,水,水,20150204 20150304,,20150218 20150318,20150211 20150311
末広 （北大通り南）,一般廃棄物最終処分場,月 木,火,火,20150204 20150304,,20150218 20150318,20150211 20150311
須賀広,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,,,20150211 20150311
瀬南,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,,,20150211 20150311
善ケ島,一般廃棄物最終処分場,月 木,水,木,20150204 20150304,,,20150211 20150311
千代,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,,,20150211 20150311
代 （熊谷バイパス北）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,,,20150211 20150311
代 （熊谷バイパス南，国道407号線東）,一般廃棄物最終処分場,火 金,水,水,20150204 20150304,,,20150211 20150311
代 （熊谷バイパス南，国道407号線西）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,,,20150211 20150311
高本,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,,,
高柳,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,,,
田島,一般廃棄物最終処分場,月 木,火,木,20150204 20150304,,,
玉井,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,,,
玉井南,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,,,
玉作,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,,,
俵瀬,一般廃棄物最終処分場,月 木,水,木,20150204 20150304,,,
中央,一般廃棄物最終処分場,月 木,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
月見町,一般廃棄物最終処分場,火 金,月,月,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
筑波,一般廃棄物最終処分場,月 木,火,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
津田,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
津田新田,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
出来島,一般廃棄物最終処分場,火 金,月,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
手島,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
道ケ谷戸,一般廃棄物最終処分場,火 金,火,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
戸出,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
問屋町,一般廃棄物最終処分場,月 木,金,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
永井太田,一般廃棄物最終処分場,火 金,月,金,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
中恩田,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
中曽根,一般廃棄物最終処分場,月 木,金,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
仲町,一般廃棄物最終処分場,月 木,火,火,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
中奈良 （県道341号線東）,一般廃棄物最終処分場,月 木,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
中奈良 （県道341号線西）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
中西,一般廃棄物最終処分場,月 木,水,水,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
奈良新田,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
成沢,一般廃棄物最終処分場,火 金,月,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
新島,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
新堀 （高崎線北）,一般廃棄物最終処分場,火 金,木,木,20150204 20150304,20150225 20150325,20150218 20150318,20150211 20150311
